"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","direction","core_gene_count","comparison"
"mmu04934","Cushing syndrome",84,0.211246561419985,0.715363925065995,0.908176100628931,0.985552859092977,0.68741168863308,1835,"tags=21%, list=17%, signal=18%","22417/13649/69544/21414/12323/57265/22422/11909/11515/215449/22409/12913/109305/14677/12575/12387/20683/14367","Positive NES",18,"STm vs NT"
"mmu04925","Aldosterone synthesis and secretion",44,0.220060806878487,0.667219339662706,0.908707865168539,0.985552859092977,0.68741168863308,1694,"tags=20%, list=16%, signal=17%","18752/12323/11909/11515/12913/18227/109305/11931/75292","Positive NES",9,"STm vs NT"
"mmu04130","SNARE interactions in vesicular transport",31,0.233494475477368,0.664578507526706,0.90190336749634,0.985552859092977,0.68741168863308,3303,"tags=35%, list=31%, signal=25%","68159/54399/74732/22320/22317/53620/56494/22318/56389/20908/58244","Positive NES",11,"STm vs NT"
"mmu04730","Long-term depression",34,0.225494031935786,0.65453147275985,0.910662824207493,0.985552859092977,0.68741168863308,522,"tags=6%, list=5%, signal=6%","12286/18752","Positive NES",2,"STm vs NT"
"mmu00515","Mannose type O-glycan biosynthesis",14,-0.241998503878056,-0.64758441355322,0.893617021276596,0.985552859092977,0.68741168863308,2114,"tags=29%, list=20%, signal=23%","246179/74653/217734/20441","Negative NES",4,"STm vs NT"
"mmu04964","Proximal tubule bicarbonate reclamation",11,0.28405842921968,0.644107838325762,0.890016920473773,0.985552859092977,0.68741168863308,1814,"tags=27%, list=17%, signal=23%","54403/11931/216456","Positive NES",3,"STm vs NT"
"mmu00350","Tyrosine metabolism",14,0.256110695307756,0.621944900421039,0.899361022364217,0.985552859092977,0.68741168863308,312,"tags=7%, list=3%, signal=7%","11529","Positive NES",1,"STm vs NT"
"mmu04136","Autophagy - other",30,0.227472918709915,0.645718813065325,0.921944035346097,0.991240482447274,0.691378739956826,3714,"tags=50%, list=35%, signal=33%","666468/66795/213948/52639/57436/74244/225326/67841/29869/75669/66615/56486/11793/56716/19052","Positive NES",15,"STm vs NT"
"mmu00531","Glycosaminoglycan degradation",16,0.242785027086822,0.605683201582755,0.920634920634921,0.991240482447274,0.691378739956826,300,"tags=6%, list=3%, signal=6%","109685","Positive NES",1,"STm vs NT"
"mmu05208","Chemical carcinogenesis - reactive oxygen species",184,0.200453483240811,0.738140966937832,0.936263736263736,0.995334426827046,0.694234218679558,1290,"tags=9%, list=12%, signal=8%","18035/19094/68312/68214/18033/13649/56484/14865/13057/15368/17295/19697/18753/20779/16476/29857","Positive NES",16,"STm vs NT"
"mmu03083","Polycomb repressive complex",73,-0.17839160504767,-0.736618365032907,0.933333333333333,0.995334426827046,0.694234218679558,1094,"tags=36%, list=10%, signal=32%","252870/15161/71833/108155/14056/75302/30841/74112/77593/19646/17765/269536/29871/12418/17187/52615/68837/15182/69837/50496/214669/21652/21781/104416/56353/628746","Negative NES",26,"STm vs NT"
"mmu04211","Longevity regulating pathway",65,0.206062339339015,0.66735150458988,0.937584803256445,0.995334426827046,0.694234218679558,2071,"tags=18%, list=19%, signal=15%","18033/19079/56484/19697/11909/11515/56458/12913/22059/72993/74769/140742","Positive NES",12,"STm vs NT"
"mmu00010","Glycolysis / Gluconeogenesis",41,0.211613011277867,0.634536042345314,0.937853107344633,0.995334426827046,0.694234218679558,312,"tags=5%, list=3%, signal=5%","18770/11529","Positive NES",2,"STm vs NT"
"mmu04142","Lysosome biogenesis",208,-0.179026568645518,-0.84746445255651,0.958333333333333,1,0.697488401855703,1799,"tags=17%, list=17%, signal=14%","11774/11432/50917/11966/320528/72368/19141/11766/74347/140494/27060/268706/17828/11768/211329/66508/18010/108011/18711/432486/192654/56717/20597/94245/211978/110935/54397/11764/21425/103199/11881/320351/76303/27426/63959","Negative NES",35,"STm vs NT"
"mmu05016","Huntington disease",237,-0.167221154356274,-0.813864736347362,0.971428571428571,1,0.697488401855703,4117,"tags=43%, list=39%, signal=27%","11772/433759/19177/67710/66576/17719/12857/105675/70247/68342/66925/22273/68118/66491/26400/66413/227613/230075/12757/19175/68202/19167/56436/26446/19185/69833/26444/66414/53598/21762/16573/12865/74764/68375/69241/56444/69920/67003/100041273/100042503/68194/21374/69077/11957/66046/22146/22123/19179/70316/66997/228980/26441/75406/20021/23997/14682/17711/19184/17718/26420/66445/226977/67273/12028/68349/66420/72504/231329/23996/17992/12367/67680/66916/67089/17749/11951/59029/329015/78943/232910/16594/22154/19173/17722/54152/17463/13063/227197/72900/13191/15182/245841/19016/18795/16438/11739/76559/22143/21780/269881/56717","Negative NES",101,"STm vs NT"
"mmu03082","ATP-dependent chromatin remodeling",91,-0.164035739134709,-0.703043308569864,0.964824120603015,1,0.697488401855703,2998,"tags=29%, list=28%, signal=21%","109275/21427/56456/19646/59001/407823/68142/20588/26992/22385/20586/116870/56207/20587/268996/210982/77045/70088/12054/93762/15182/81601/20174/56505/17192/269397","Negative NES",26,"STm vs NT"
"mmu05214","Glioma",59,-0.174177198064399,-0.682757719692337,0.973684210526316,1,0.697488401855703,1271,"tags=14%, list=12%, signal=12%","12578/26396/12567/56717/13557/18709/242705/13555","Negative NES",8,"STm vs NT"
"mmu04910","Insulin signaling pathway",105,-0.148603327572884,-0.641275885595924,1,1,0.697488401855703,2120,"tags=20%, list=20%, signal=16%","13684/110094/74370/105651/11836/53413/14936/19082/26395/20787/18749/18747/26396/17346/107476/56717/14252/16337/18709/14104/100705","Negative NES",21,"STm vs NT"
"mmu05223","Non-small cell lung cancer",61,0.19592863813151,0.624674465666218,0.964529331514325,1,0.697488401855703,3013,"tags=31%, list=28%, signal=22%","54354/234779/13649/18752/56484/17295/27015/22059/12575/74769/56289/20851/20850/18708/18803/23882/17873/16453/107986","Positive NES",19,"STm vs NT"
"mmu04340","Hedgehog signaling pathway",32,0.209853370064305,0.605020033917992,0.947674418604651,1,0.697488401855703,3110,"tags=38%, list=29%, signal=27%","74239/109689/216869/20747/70425/103583/76857/233812/27373/269878/214897/104318","Positive NES",12,"STm vs NT"
"mmu04929","GnRH secretion",30,-0.177824104398179,-0.604291148921517,0.984520123839009,1,0.697488401855703,3361,"tags=47%, list=32%, signal=32%","11651/11652/15461/15166/14682/20750/18710/16534/14672/26395/26396/18795/16438/18709","Negative NES",14,"STm vs NT"
"mmu04720","Long-term potentiation",43,-0.165000310137523,-0.6020332881192,0.982517482517482,1,0.697488401855703,4264,"tags=56%, list=40%, signal=34%","26413/19047/434233/18176/109905/16440/18750/19055/20111/11911/109880/15461/14682/12315/110651/19056/11836/26395/18749/18747/26396/18795/16438/19057","Negative NES",24,"STm vs NT"
"mmu04120","Ubiquitin mediated proteolysis",129,0.167424006877391,0.598991216246855,0.994172494172494,1,0.697488401855703,2667,"tags=20%, list=25%, signal=15%","12703/11796/66440/66894/74153/107995/22214/11797/12402/56371/229615/218793/20437/83814/67345/22193/80794/18854/217342/17246/107568/22346/67921/103583/246710/22210","Positive NES",26,"STm vs NT"
"mmu05415","Diabetic cardiomyopathy",152,0.163776902754911,0.596411897030976,0.996606334841629,1,0.697488401855703,1290,"tags=7%, list=12%, signal=6%","21808/19094/18033/18752/12323/13057/19697/18753/17127/29857","Positive NES",10,"STm vs NT"
"mmu00600","Sphingolipid metabolism",44,-0.158656347170468,-0.585402274474526,0.993103448275862,1,0.697488401855703,3242,"tags=34%, list=30%, signal=24%","50784/15211/12091/208449/14421/70059/56336/76893/81535/56386/66190/20698/18010/20597/19012","Negative NES",15,"STm vs NT"
"mmu04022","cGMP-PKG signaling pathway",71,0.175621858344059,0.579828734505889,0.981603153745072,1,0.697488401855703,1685,"tags=13%, list=16%, signal=11%","18018/107589/242202/11548/11909/11515/12913/14677/11931","Positive NES",9,"STm vs NT"
"mmu04962","Vasopressin-regulated water reabsorption",31,0.201519185893563,0.573569543884655,0.976573938506589,1,0.697488401855703,4122,"tags=55%, list=39%, signal=34%","271457/11515/12913/67665/234663/13427/19326/22318/213575/110350/14683/19344/13424/69654/11512/53869/208647","Positive NES",17,"STm vs NT"
"mmu05213","Endometrial cancer",50,0.170512805213724,0.529934638733916,0.994467496542185,1,0.697488401855703,1873,"tags=16%, list=18%, signal=13%","13649/21414/56484/27015/22059/12575/12387/74769","Positive NES",8,"STm vs NT"
"mmu04914","Progesterone-mediated oocyte maturation",66,0.15720817261512,0.514361262848404,0.994666666666667,1,0.697488401855703,2660,"tags=23%, list=25%, signal=17%","19094/66440/11515/29857/56371/14677/231207/20868/74769/268697/12532/12235/12531/110033/18708","Positive NES",15,"STm vs NT"
"mmu00450","Selenocompound metabolism",15,0.200321491850613,0.499512577401693,0.986046511627907,1,0.697488401855703,3107,"tags=33%, list=29%, signal=24%","26462/229905/211006/214580/50493","Positive NES",5,"STm vs NT"
"mmu04114","Oocyte meiosis",89,0.137417711912353,0.467807628690388,1,1,0.697488401855703,1633,"tags=10%, list=15%, signal=9%","19094/66440/12323/105988/107995/11515/29857/22629/231207","Positive NES",9,"STm vs NT"
"mmu00310","Lysine degradation",48,0.144785838048083,0.447429961011449,0.998614958448753,1,0.697488401855703,3147,"tags=25%, list=30%, signal=18%","14055/26432/73251/64707/225888/18193/381022/234407/214162/74729/69188/107823","Positive NES",12,"STm vs NT"
